Player,Team_x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,WS,WS/48,Pick,Pos,Weight,Age,Pre-Draft Team,Agility,Shuttle Run,Sprint,Standing Vertical,Max Vertical Leap,Max Bench Press,Body Fat Percentage,Hand Length,Hand Width,Heightw/oshoesinches,Heightw/shoesinches,Standing_Reach_inches,Wingspan_inches
Jarrett Jack,GT,32,34.1,5.1,10,0.514,1.4,3.2,0.442,3.8,4.4,0.866,3.4,1.7,0.3,4.6,4.9,4.5,1.8,0.1,15.5,0.643,0.586,182.3,0.9,13.4,7.4,26.2,22.2,3,0.3,21.8,-1.1,1.6,114.4,93.4,21,392.8,19.7,5.6,0.115,22,PG/SG,200,21,Georgia Tech,10.87,-,3.24,26,28.5,5,-%,-,-,74.5,75.5,100,79.5
Kawhi Leonard,SDSU,36,32.6,5.9,13.2,0.444,0.7,2.4,0.291,3.1,4,0.759,2.1,2.5,3.1,7.6,10.7,2.5,1.4,0.6,15.5,0.512,0.471,149.4,11.1,26.1,18.7,15.8,12.3,2.9,2,27.6,-1.4,1.2,112.8,84.2,28.5,504.6,26,13.7,0.277,15,SF,230,19,San Diego State,11.45,-,3.15,25.5,32,3,0.054,9.75,11.25,78,79,106,87
Gordon Hayward,BU,37,33.5,4.7,10.1,0.465,1.3,4.3,0.294,4.8,5.8,0.829,2.3,2.1,1.9,6.3,8.2,1.7,1.1,0.8,15.5,0.654,0.609,174,5.6,18.4,12.2,14,14.2,3,3.5,19.6,-1.1,1.6,128,87.9,40.1,399.8,23.6,10.4,0.199,9,SF,225,20,Butler,11.73,-,3.22,30.5,34.5,10,0.069,8.5,9.25,78.75,80,103,79.75
Austin Rivers,DUKE,34,33.2,5.1,11.8,0.433,1.7,4.7,0.365,3.6,5.4,0.658,2.3,2.2,0.6,2.8,3.4,2.1,1,0,15.5,,,,,,,,,,,,,,,,,,,2.5,0.059,10,PG/SG,200,19,Duke,11.54,-,3.32,32.5,37.5,1,0.062,8.5,10,75.5,77,96.5,79.25
Maurice Harkless,STJ,32,36.1,6,13.3,0.451,0.5,2.5,0.215,3,4.3,0.683,2.5,2.3,2.7,5.9,8.7,1.5,1.6,1.4,15.5,0.503,0.471,134.9,8.3,18.4,13.3,9.6,14,2.6,4.2,24.8,-4.3,1.2,102.2,100.2,2,378.9,20.3,4.2,0.091,15,SF,220,19,St. John's,10.87,-,3.25,32.5,37,5,0.053,9.25,10.25,79.25,80.75,102.5,84
Anthony Randolph,LSU,31,32.8,5.9,12.7,0.464,0.1,0.6,0.105,3.7,5.4,0.693,3,2.7,2.8,5.7,8.5,1.2,1.1,2.3,15.6,0.511,0.467,126.3,9.5,18.7,14.2,8.5,16.3,2,6.7,28,-6.5,1.2,99.7,96,3.8,352.5,20.8,1.6,0.069,14,PF,225,18,LSU,11.86,-,3.26,29,35,7,0.047,-,-,81,82.25,109,87
Chris Bosh,GT,31,31,5.5,9.7,0.56,0.7,1.5,0.468,4.1,5.6,0.73,2.3,2.4,3.1,5.9,9,1.2,1,2.1,15.7,0.633,0.596,175.8,11.6,22.3,16.9,7.9,15.8,1.7,6.8,22.4,-4.6,1.6,120.7,93.5,27.2,453,24.7,10.3,0.177,4,PF/C,235,19,Georgia Tech,11.8,-,3.3,30.5,33,9,0.08,-,-,82.25,,109,87.5
Greg Oden,OSU,32,28.9,5.9,9.6,0.616,0,0,0,3.8,6.1,0.628,2,2.7,3.5,6,9.6,0.7,0.6,3.2,15.7,0.626,0.616,124.3,14.7,24.2,19.6,5.4,13.8,1.2,12.8,26.8,-5.7,1.6,120.8,88.3,32.5,489.5,31,4.6,0.167,1,C,273,19,Ohio State,11.67,-,3.27,32,34,-,0.078,-,-,83,84,112,88.25
Keith Bogans,UK,36,29.7,5.4,11.8,0.456,2.2,5.8,0.383,2.7,3.6,0.738,2.2,1.7,1.1,2.7,3.8,2.7,1.2,0.1,15.7,0.579,0.551,157.8,4.6,10.6,7.7,17.3,13.8,2.3,0.4,25.8,-1.2,1.3,118,95.9,22.1,346.2,21,4.9,0.106,43,SG/SF,215,23,Kentucky,11.43,-,3.25,29.5,35,10,0.08,-,-,76.25,,101,81.25
Jimmy Butler,MU,37,34.6,5.1,10.3,0.49,0.5,1.6,0.345,5.1,6.5,0.783,1.5,1.3,2.4,3.6,6.1,2.3,1.4,0.4,15.7,0.632,0.559,179.7,8.9,14.5,11.7,11.7,9,2.4,1.9,20.2,0.6,1.8,135.3,98.7,36.6,441.8,23.9,13.8,0.236,30,SF/SG,231,21,Marquette,11.12,-,3.15,32,39,14,0.054,9,9,78,79.75,101.5,79.5
Terrence Jones,UK,38,31.5,5.4,12.3,0.442,0.7,2.1,0.329,4.1,6.4,0.646,2,2.4,2.4,6.4,8.8,1.6,1.1,1.9,15.7,0.512,0.47,141.7,8.9,22.5,15.9,10.3,11.4,2.2,6,28.3,-2.9,1.3,108.7,89,19.7,483.9,23.8,7.3,0.169,18,PF,255,20,Kentucky,11.57,-,3.4,29.5,34.5,12,0.077,9,10,80.25,81.5,107,86.25
DeJuan Blair,PITT,35,27.2,6.5,10.9,0.593,0,0,0,2.8,4.6,0.605,1.3,2.7,5.6,6.8,12.3,1.2,1.5,1,15.7,0.601,0.593,119.8,24,28.4,26.2,9.1,8.8,3.5,4,25.7,-1.7,1.4,131.8,86.2,45.6,614.8,35.6,4.8,0.132,37,PF,270,20,Pittsburgh,11.5,-,3.45,26,33,18,0.12,-,-,77.25,78.5,106.5,86
Armon Johnson,UNR,34,34.5,6.5,13,0.497,0.5,2.1,0.239,2.4,3.5,0.678,3.4,1.8,0.8,2.6,3.4,5.6,0.8,0.4,15.8,0.509,0.459,149.8,2.8,9.7,6.3,30.8,14,1.7,0.6,27.6,1.2,1.2,106.8,102.2,4.6,310.1,19.6,0.1,0.05,34,PG,195,21,Nevada,11.25,-,3.19,31.5,38.5,18,0.056,8.25,9.25,74,75.25,99.5,80
Al-Farouq Aminu,WF,31,31.3,5.4,12.1,0.447,0.6,2.1,0.273,4.5,6.4,0.698,3.2,2.9,4.3,6.4,10.7,1.3,1.4,1.4,15.8,0.524,0.471,141.8,14.5,20.6,17.6,9.1,17.4,2.6,4.5,27.6,-7,1.3,105,90.6,14.4,402.6,23,4,0.082,8,SF,220,19,Wake Forest,11.29,-,3.3,27,33.5,13,0.082,9.5,9.5,79.25,80.5,108.5,87.25
Darington Hobson,UNM,35,33.6,5.5,12.5,0.44,1.1,3.1,0.361,3.7,5.7,0.653,3,1.9,2.1,7.1,9.3,4.6,1.3,0.4,15.9,0.52,0.484,145.4,6.9,24.6,15.5,29.3,16.3,2.2,1.6,26.9,0.2,1.3,108.8,95.2,13.6,493.6,22.5,-0.2,-0.225,37,SG/SF,210,22,New Mexico,11.68,-,3.25,29,34,-,0.062,8.25,9,77.25,78.5,104.5,81.25
Luther Head,U of I,39,33.3,5.5,11.8,0.463,3,7.3,0.41,2,2.5,0.788,1.8,1.4,0.6,3.4,4,3.8,1.7,0.2,15.9,0.611,0.589,166.1,2.2,11.3,6.8,21.8,11.9,3.2,0.8,23.4,2.4,1.3,124.5,94.3,30.3,490.6,22.5,5.7,0.123,24,G,185,22,Illinois,11.12,-,3.21,31.5,38.5,14,-%,-,-,74,75,98.5,77.25
Ronny Turiaf,GU,31,31.2,5.1,10,0.508,0.1,0.2,0.286,5.7,8.4,0.683,2.3,2.7,2.4,7.1,9.5,1.5,0.4,1.9,15.9,0.608,0.521,144.5,11.8,18,15,5.1,13.1,1.4,6.7,29.9,-6.3,1.8,121.7,96.1,25.7,338.9,27,4.2,0.137,37,PF/C,241,22,Gonzaga,11.5,-,3.23,30.5,33,15,-%,-,-,80,81.25,106.5,85.5
Ben McLemore,KU,37,32.2,5.4,10.8,0.495,2,4.7,0.42,3.2,3.7,0.87,2.1,1.9,1.3,3.9,5.2,2,1,0.7,15.9,0.633,0.586,178.4,5,12.4,9.1,12.6,14.2,1.8,2.3,23.3,-2.3,1.5,121.4,92.3,29.1,416.5,21.9,2.5,0.045,7,SG,195,20,Kansas,11.87,3.11,3.27,32.5,42,6,0.05,8.75,9.5,75.5,76.75,100.5,79.75
Channing Frye,U of A,30,30.4,6.4,11.7,0.548,0.1,0.2,0.6,3,3.8,0.788,1.6,3,2.9,4.6,7.5,1.9,0.6,2.1,15.9,0.605,0.557,156,6.9,11.3,9.1,11.9,11.7,2,7.6,22.9,-1.6,1.4,126.6,104.1,22.5,536.1,28.2,6.4,0.141,8,PF/C,255,22,Arizona,11.6,-,3.38,27.5,31,19,-%,-,-,81.5,82.5,110.5,86.5
Shelvin Mack,BU,38,32.1,5.3,13,0.408,2.3,6.5,0.354,3.2,4.1,0.769,2.4,1.7,0.7,3.8,4.5,3.4,0.8,0.1,16,0.537,0.496,153.1,2.7,14.3,8.4,24.9,14.1,1.6,0.3,28.7,-0.5,1.2,109.9,99.3,10.6,353,20.1,2.3,0.074,34,PG,203,21,Butler,11.23,-,3.18,32,39,17,0.071,8.25,9.25,73,74.5,96.5,79.5
Tony Wroten,UW,35,30.3,5.7,12.8,0.443,0.3,1.6,0.161,4.4,7.5,0.583,3.8,2.7,2.3,2.7,5,3.7,1.9,0.3,16,0.488,0.453,118.7,8.1,9.7,8.9,24.4,18.7,3.5,1.1,31.3,-4.2,1.3,98.6,97,1.6,305.2,19.6,0.3,0.014,25,PG,205,19,Washington,10.75,-,3.24,30,35.5,0,0.052,8,9,76.75,78,101,81
Tony Allen,OSU,35,31.6,5.8,11.5,0.505,0.6,2.1,0.297,3.7,5.5,0.675,2.8,3,1.8,3.7,5.5,3.1,2.1,0.9,16,0.565,0.532,147.8,7.5,13.4,10.7,18.9,16.5,4.1,3,27.5,-2.3,1.4,112.4,89.1,23.3,407,23.3,5.1,0.115,25,SG,213,22,Oklahoma State,10.7,-,3.19,31.5,36.5,17,0.067,-,-,75.5,76.25,102,81
Antonio Burks,UM,30,34.3,4.3,8.3,0.52,1.9,4.6,0.413,2.4,3.8,0.632,2.5,2.3,0.5,2.7,3.2,5.5,2.4,0.2,16,0.796,0.635,156.5,1.6,8.5,5,53,19.7,5.3,1.3,24.1,4.7,1.9,126.5,121,5.5,463.5,25.8,0.5,0.103,36,G,200,24,Memphis,-,-,-,-,-,9,0.099,-,-,72,72.75,96.5,78.5
Henry Walker,KSU,31,27.3,5.8,12.5,0.465,1.1,3.7,0.307,3.3,4.4,0.737,2.6,3.3,2.5,3.8,6.3,1.9,0.9,0.5,16.1,0.548,0.51,151,10,15.6,12.8,14.6,15.1,1.9,2.1,28.8,-4.7,1.3,112.2,95.4,16.8,293.1,22.1,1.9,0.121,47,SG/SF,235,20,Kansas State,,,,,,,,,,,,,
Greg Monroe,GU,34,34.2,5.9,11.3,0.525,0.2,0.8,0.259,4.1,6.1,0.66,3.3,2.6,2.2,7.5,9.6,3.7,1.2,1.5,16.1,0.567,0.534,144.4,8.5,25.2,17.5,22.2,18.8,2.2,4.9,26.8,-2.4,1.4,109.9,93.6,16.2,511.9,23.9,7.5,0.155,7,C/PF,265,20,Georgetown,12.1,-,3.35,25,29,15,0.112,8.75,9.5,81.75,83,108.5,86.25
P.J. Tucker,UT,37,34.5,6.1,11.8,0.514,0.1,0.1,0.5,3.8,5.1,0.747,3.1,2.8,2.8,8.9,11.7,2.9,1.8,0.4,16.1,0.562,0.516,176.1,7.9,21.6,15.2,17.1,17.9,3.1,1.1,25.1,-3.5,1.4,109.9,84.4,25.5,562.8,24.4,6.1,0.117,35,SF,245,21,Texas,,,,,,,,,,,,,
Jeffery Taylor,VU,36,32.1,5.8,11.8,0.493,1.8,4.3,0.423,2.6,4.4,0.605,2.2,1.9,2.1,3.4,5.6,1.7,1.3,0.4,16.1,0.58,0.57,152.1,8.3,12.2,10.3,12.6,13.6,2.4,1.4,26.4,-3.4,1.4,114.6,98.4,16.2,383.4,22.9,1.2,0.039,31,SF,225,23,Vanderbilt,,,,,,,,,,,,,
Dante Cunningham,VILL,38,31.5,6.4,12.2,0.525,0,0.1,0,3.3,4.7,0.697,2.2,2.7,2.6,4.8,7.4,1.2,1.2,1.2,16.1,0.557,0.525,122.1,9.4,17.1,13.3,8.8,13,2.2,4.8,25.7,-4,1.3,112,94.1,17.9,441,22.4,3.5,0.084,33,PF,230,22,Villanova,11.18,-,3.26,28,35,18,0.048,-,-,79,80.25,106.5,83
Anthony Bennett,UNLV,35,27.1,5.8,10.8,0.533,1,2.7,0.375,3.5,5.1,0.701,1.9,2.3,2.5,5.7,8.1,1,0.7,1.2,16.1,0.609,0.58,160.9,10.3,21.8,16.3,8.8,12.3,1.5,4.6,27.5,-4.3,1.5,117.6,88.5,29.1,444.6,26.7,0.5,0.09,1,PF,235,20,UNLV,,,,,,,,,,,,,
Linas Kleiza,MU,33,31.5,5,12.4,0.403,0.9,3.4,0.274,5.1,7,0.732,2.5,2.8,2.2,5.4,7.6,1.6,0.7,0.3,16.1,0.511,0.441,140.9,7.3,18.9,13,13.1,13.8,1.3,1,30.1,-4.8,1.3,104.7,101.7,3,297.4,19.6,4.7,0.119,27,PF,234,20,Missouri,,,,,,,,,,,,,
Draymond Green,MSU,37,33.2,5.7,12.8,0.449,1.4,3.6,0.388,3.4,4.7,0.723,3,2.9,2.1,8.5,10.6,3.8,1.5,1,16.2,0.542,0.504,156,8.1,28.4,18.9,24.2,16.7,2.7,3.4,28.2,-1.4,1.3,109.9,83.4,26.5,562.9,25.2,11.1,0.19,35,PF,230,22,Michigan State,11.01,-,3.4,28,33,9,0.113,9,9.5,77.75,79.5,105,85.25
Otto Porter,GU,31,35.4,5.4,11.3,0.479,1.4,3.3,0.422,3.9,5.1,0.777,1.5,2,1.8,5.7,7.5,2.7,1.8,0.9,16.2,0.589,0.54,167.7,6.6,18.9,13.1,18.6,9.9,3.3,3,24.2,0.9,1.4,122.3,84,38.3,458.1,25.9,9.4,0.173,3,SF,198,20,Georgetown,11.25,3.06,3.4,27,36,9,0.0665,8.75,9.25,79.5,80.5,105.5,85.5
Malik Hairston,UO,31,31.5,5.7,10.8,0.525,1.7,3.9,0.433,3.3,4.5,0.732,1.8,2.9,1.5,3.4,4.8,2.1,0.6,0.8,16.3,0.63,0.603,169.1,5.6,12.3,9.1,14.2,12.1,1.1,2.7,24.3,-1.1,1.5,123.9,109.9,14,336.8,21.9,0.7,0.107,48,SF,220,21,Oregon,11.33,-,3.08,30.5,38,13,0.069,-,-,76.25,77.25,103.5,81
J.R. Giddens,UNM,33,32.2,6.4,12.3,0.516,0.8,2.3,0.333,2.8,4.8,0.586,2.2,1.9,1.7,7.1,8.8,3.1,1.4,1.2,16.3,0.558,0.547,143.5,6.5,27.4,16.7,22.5,13.2,2.7,4.9,27.5,-0.4,1.3,111.9,85.2,26.8,488.6,25.5,0.1,0.021,30,GF,210,23,New Mexico,-,-,-,-,-,10,0.054,-,-,76,76.75,103,83.25
James White,UC,33,33.5,5.4,11,0.488,1.5,4,0.374,4.1,4.8,0.838,2.3,2.7,1.3,3.8,5.1,1.9,1.1,0.8,16.3,0.612,0.555,169.9,4.1,12.1,8.2,11.5,14.9,1.9,2.5,22.5,-3,1.5,118.2,98.5,19.6,347,20.3,0.5,0.051,31,SG/SF,215,23,Cincinnati,,,,,,,,,,,,,
Tyler Zeller,UNC,38,28.2,5.8,10.5,0.553,0,0,0,4.8,5.9,0.808,1.9,2.7,3.8,5.7,9.6,0.9,0.9,1.6,16.3,0.616,0.553,136.1,14.1,20.1,17.2,6.3,12.6,1.8,5.4,24.5,-4.3,1.6,125.5,88.4,37,553,28.6,6.5,0.179,17,C/PF,250,22,North Carolina,11.13,-,3.4,30,34,16,0.064,9,9.75,83.25,84.5,104.5,84
Mo Williams,UA,29,35.8,5.5,13.5,0.409,2,6.1,0.328,3.4,4,0.838,3,2.1,1,2.9,3.9,3.9,1.2,0.2,16.4,0.532,0.483,157.4,3.2,9.5,6.3,24.4,16.1,2.1,0.5,25.8,-1.1,1.2,109.1,101,8.1,266.4,18,9.8,0.165,47,PG,198,20,Alabama,-,-,-,-,-,3,0.067,-,-,72.75,,98.5,77.5
Arnett Moultrie,MSU,30,35.8,6,10.9,0.549,0.3,0.6,0.444,4.1,5.3,0.78,2.4,2.2,3.7,6.8,10.5,1.2,0.8,0.8,16.4,0.61,0.561,177.3,11.8,21.9,16.9,7.2,15.3,1.4,2.1,23.3,-4.8,1.5,118.2,100.2,18,425.9,24.2,1.7,0.149,27,PF,250,21,Mississippi State,11.32,-,3.22,33.5,37.5,10,0.077,9.25,9.25,81.5,82.75,106.5,86.25
Francisco Garcia,U of L,28,30.4,3.6,7.1,0.503,1.9,5.7,0.325,3.9,4.9,0.797,2.8,2.8,1.1,3.4,4.6,4.7,1.9,1.4,16.4,0.869,0.633,162.5,4,11.6,7.8,44.9,23,4.6,8.2,26.5,1.3,2.3,123.7,105.9,17.8,466.5,29.4,4.2,0.097,23,SF/SG,195,23,Louisville,10.63,-,3.33,27.5,31.5,5,-%,-,-,77.75,79,103,82.75
Kyle O'Quinn,NSU,32,32.8,6.2,11.1,0.556,0.5,2,0.238,3.6,4.7,0.762,2.1,3.6,3.3,7.8,11.1,1,0.6,3.4,16.4,0.616,0.581,145.7,11.9,25.4,18.9,10.9,17,1.3,8.9,24.8,-5.4,1.6,116.1,90,26.1,543.5,27.3,3.9,0.151,49,PF/C,250,22,Norfolk State,11.65,-,3.53,31.5,31.5,-,0.08,9.5,10,80.5,82,106.5,88.75
Robbie Hummel,PU,35,32.2,5.5,13.3,0.417,2.1,5.4,0.383,3.2,3.9,0.825,0.9,2.1,1.6,5.6,7.2,1.9,0.7,1.2,16.4,0.599,0.531,172.7,6.5,21,13.8,14.6,7.4,2.2,3.7,24.5,1.2,1.4,129.2,88.3,40.9,363.8,27,1.1,0.084,58,SF,220,23,Purdue,11.56,-,3.41,27.5,30,13,0.094,8.5,9.5,79.25,80.5,102,80.5
Terrence Ross,UW,35,31.1,6.1,13.4,0.457,2.1,5.5,0.371,2.1,2.7,0.774,2,2.8,1.4,5.1,6.4,1.4,1.3,0.9,16.4,0.558,0.534,160.3,4.7,17.5,11.1,9.2,12,2.3,3,25.3,-3.3,1.2,113.5,95.3,18.1,373.9,21.5,4.2,0.094,8,SG/SF,206,21,Washington,11.78,-,3.28,31,37.5,2,0.032,8.75,10.25,78,79,100.5,79.25
Nate Robinson,UW,35,31.5,5.4,11.6,0.463,1.8,4.6,0.385,3.9,5,0.782,2,2.8,1.5,2.3,3.9,4.5,1.7,0.2,16.4,0.587,0.539,163,3.2,5.1,4.1,23.6,12.7,3.7,0.6,22.9,3.4,1.4,127.1,111.8,15.4,424.2,25.6,5.9,0.136,21,PG,180,21,Washington,10.75,-,2.96,35.5,43.5,13,0.067,-,-,67.75,69,91.5,73
Cody Zeller,IU,36,29.5,5.5,9.8,0.562,0,0.1,0,5.4,7.2,0.757,2.2,2.2,2.8,5.2,8,1.3,1,1.2,16.5,0.665,0.623,137.8,11.2,16.8,14.2,9.5,12.4,2.8,4.3,24.3,-3,1.8,132,94.8,37.2,466.5,29.9,6.3,0.169,4,C/PF,240,20,Indiana,10.82,2.69,3.15,35.5,37.5,17,0.0475,8.5,10.5,82.75,84.25,106,82.75
James Ennis,LBSU,33,33.1,5.5,11.2,0.491,1.7,4.7,0.357,3.8,4.6,0.834,3,2.3,2,4.7,6.7,2.1,1.8,1.3,16.5,0.616,0.565,168.2,6.9,15.7,11.4,14.4,18.3,3.1,4.2,24.9,-4.7,1.5,114.2,99.5,14.6,426.6,23.8,3.1,0.101,50,GF,210,22,Long Beach State,11.55,3.06,3.4,29.5,36.5,7,0.045,8.5,8.75,77.75,79,104.5,83.5
Wesley Johnson,SU,35,35,5.9,11.8,0.502,1.5,3.5,0.415,3.2,4.1,0.772,2.3,2.1,2.1,6.4,8.5,2.2,1.7,1.8,16.5,0.6,0.564,168.9,7.6,18.4,13.5,11.1,14.4,2.7,5.7,22.1,-2.3,1.4,119,90.6,28.5,539.1,22.9,2.6,0.076,4,SG/SF,215,22,Syracuse,11.43,-,3.14,32,37,16,0.046,9,9.5,78.25,79.25,106,85
Gerald Henderson,DUKE,37,29.7,5.8,12.8,0.45,1.1,3.3,0.339,3.9,5.1,0.761,2.2,1.7,1.2,3.7,4.9,2.5,1.2,0.8,16.5,0.542,0.494,155,4.7,14.6,9.5,18,12.5,2.4,2.4,28.3,-1.7,1.3,113.6,94.4,19.2,387,22.9,3.6,0.074,12,SG,215,21,Duke,11.17,-,3.14,31.5,35,8,0.044,-,-,76,77,102.5,82.25
James Johnson,QU,31,36.1,5.6,14.6,0.381,2.2,6.1,0.365,3.2,4.3,0.737,2.5,2.4,0.6,2.6,3.3,3.5,1.3,0.1,16.5,0.593,0.574,155.8,9.5,19.3,14.8,12.3,15.9,2.5,5,22.4,-3.1,1.3,115.7,90.3,25.4,421.4,23.4,5.1,0.117,16,PF,250,22,Wake Forest,11.21,-,3.23,30.5,35,18,0.12,-,-,79,79.75,105.5,84.75
Wayne Ellington,UNC,39,31.2,6.1,13,0.469,2,5,0.4,2.4,2.9,0.826,1.7,1.6,1.1,3.4,4.5,2,1.1,0.2,16.6,0.6,0.572,167,5.3,11.2,8.3,14.3,11,1.7,0.5,21.4,0.4,1.4,125.9,98.8,27.1,429.8,20.8,3.3,0.101,28,SG,200,21,North Carolina,11.14,-,3.2,31.5,38,13,0.055,-,-,76.25,77.25,100,78.5
DeMarre Carroll,MU,38,28,6.5,11.6,0.558,0.4,1.2,0.364,3.2,5,0.634,1.5,2.2,2.4,4.8,7.2,2.1,1.6,0.7,16.6,0.591,0.576,155.5,9.1,18.5,13.8,15,9.5,3.1,2.4,26,-0.2,1.4,122.2,90.1,32.1,521.4,27.5,7,0.154,27,SF,215,22,Missouri,-,-,-,-,-,-,0.063,-,-,78.25,79.75,105,82
Tyshawn Taylor,KU,39,33.4,5.8,12.2,0.477,1.5,3.9,0.382,3.5,5.1,0.688,3.5,2,0.2,2.1,2.3,4.8,1.3,0.2,16.6,0.569,0.538,154.7,0.8,6.9,4,29.8,19.5,2.4,0.5,27.5,-1.1,1.4,106.7,96.2,10.5,354.6,19.2,-0.4,-0.077,41,PG,185,22,Kansas,11.48,-,3.2,32,36.5,0,0.042,8.75,8.75,74.75,76,97.5,78.25
John Wall,UK,37,34.8,5.5,11.8,0.461,1,3.1,0.325,4.7,6.3,0.754,4,1.9,0.8,3.5,4.3,6.4,1.8,0.5,16.6,0.562,0.503,154,2.6,10.2,6.6,34.3,21.3,2.9,1.5,25.7,0.8,1.4,111.4,93.7,17.7,466.2,20.9,8.8,0.149,1,PG,210,19,Kentucky,10.84,-,3.14,30,39,-,0.056,8.25,9.5,74.75,76,101.5,81.25
Alex Acker,PU,31,37.2,5.9,13.1,0.45,1.9,4.4,0.431,2.9,3.4,0.858,2.6,1.9,1.4,5.1,6.5,3.7,1.3,0.5,16.6,0.564,0.522,173.9,2.5,9.2,5.8,19.9,15.2,2.4,1.4,22.2,-0.6,1.3,113.6,114.4,-0.9,390.8,22.7,0,-0.011,60,SG,185,22,Pepperdine,11.67,-,3.35,28,32,11,-%,-,-,75.75,76.75,102.5,84
Lionel Chalmers,XAV,37,34.9,5.5,12.3,0.449,2.7,6.7,0.409,2.8,4,0.709,2.8,2.1,0.5,2.8,3.3,3.2,1.1,0,16.6,0.586,0.561,156.8,1.5,9.3,5.4,19.9,16.4,1.9,0.1,25,-1.9,1.4,111.6,99.4,12.2,329.8,17.6,-0.2,-0.025,33,G,180,23,Xavier,,,,,,,,,,,,,
Paul George,CSUF,29,33.2,5.3,12.5,0.424,2,5.8,0.353,4.1,4.6,0.909,3.2,2.9,1.9,5.3,7.2,3,2.2,0.8,16.8,0.572,0.506,168.7,6.6,18.9,12.8,22.6,18.1,4.1,3,27.9,-3.8,1.3,108,93.7,14.2,376.5,23.5,10.8,0.178,10,SG/SF,220,20,Fresno State,-,-,-,-,-,4,0.05,8.5,9,79.75,80.75,107,83.25
Jason Smith,CSU,30,30.2,5.8,10.1,0.579,0,0.1,0,5.1,6.7,0.77,3.4,3.1,3.3,6.9,10.1,1.9,0.5,1.6,16.8,0.635,0.579,134.9,14.9,26.9,21.4,14.5,20.4,1.1,6.1,27.7,-7,1.7,116.6,96.5,20.1,427,27.3,2.3,0.103,20,PF/C,240,21,Colorado State,10.96,-,3.29,33.5,37.5,15,0.075,-,-,82.75,83.5,106,82.75
Travis Hansen,BYU,32,32.1,5.3,11.9,0.442,1.1,3.3,0.34,5.1,6.4,0.799,2.6,3,1.7,3.1,4.7,2.4,0.9,0.7,16.8,0.561,0.49,158.1,7.3,12.1,9.8,17.4,14.9,1.7,2.3,28.9,-3.2,1.4,112.4,96,16.4,295,20.3,0.2,0.019,37,G-F,205,25,Brigham Young,10.72,-,3.18,31.5,35,16,0.06,-,-,76.5,,100.5,78.5
Jason Kapono,UCLA,29,33.4,5.9,12.9,0.457,2.2,5.6,0.398,2.8,3.2,0.88,2.1,2.2,1.8,3.4,5.2,2,0.6,0,16.8,0.583,0.543,173.5,6.6,11.6,9.2,12,12.7,1,0,23.4,-2.1,1.3,116.6,108.8,7.8,280.8,18.1,4.2,0.114,31,SF,213,22,UCLA,11.04,-,3.38,23.5,30,8,0.117,-,-,78.5,,102,78.5
James Jones,UM,28,34.2,5.6,12.5,0.447,1.4,3.6,0.4,4.2,5,0.836,2.5,2.7,1.9,4.2,6,1.8,1.6,1.8,16.8,0.564,0.504,168.3,6.9,16.9,11.7,11.7,14.2,2.6,5.9,24.9,-3.7,1.3,111.9,93.5,18.3,331,20.7,4.7,0.145,49,SF,218,22,Miami (FL),11.18,-,3.19,30.5,33,9,0.067,-,-,79.25,,107.5,86.5
Jordan Williams,UMD,33,32.5,6.5,12,0.538,0,0,0,4,6.9,0.575,1.6,2.4,3.7,8.1,11.8,0.6,0.7,1.4,16.9,0.552,0.538,111.2,12.5,26.1,19.5,3.9,9.5,1.2,4.1,24.6,-3.4,1.4,115,89.6,25.4,491.8,23.7,1.3,0.101,36,PF/C,260,20,Maryland,12.74,-,3.45,25,30.5,10,0.121,9.25,10,79.75,81,106.5,84.25
Ty Lawson,UNC,35,29.9,5.3,9.8,0.539,1.5,3,0.491,4.8,6,0.8,1.9,1.7,0.7,2.3,2.9,6.6,2.2,0.1,16.9,0.666,0.615,183,2.4,7.5,5,35.6,12.8,3.8,0.4,21.4,7.4,1.7,140.5,95.7,44.8,551.8,28.3,7.4,0.141,18,PG,195,21,North Carolina,10.98,-,3.12,29,36.5,14,0.066,-,-,71.25,72.5,94.5,72.75
Arron Afflalo,UCLA,36,33.1,5.8,12.6,0.462,2.4,6.4,0.38,2.8,3.5,0.802,1.8,1.8,0.4,2.4,2.8,1.9,0.6,0.2,16.9,0.59,0.557,164.3,1.7,9,5.3,12,11.1,1.1,0.7,25.7,-1.6,1.3,117.6,98,19.6,301.2,19.5,6.2,0.128,27,SG,210,21,UCLA,,,,,,,,,,,,,
Joe Alexander,WVU,36,31.6,6.1,13.2,0.462,0.3,1.1,0.268,4.4,5.4,0.814,2.2,2.9,1.9,4.5,6.4,2.4,0.8,1.5,16.9,0.536,0.474,154.5,7,16.9,11.9,16.6,12.4,1.5,5.5,28.8,-1.9,1.3,112.2,93.5,18.7,404.8,23.2,0.4,0.03,8,SF,230,21,West Virginia,11.33,-,2.99,32.5,38.5,24,0.058,-,-,79.25,80.25,106,83.5
