Player,Team_x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,WS,WS/48,Pick,Pos,Weight,Age,Pre-Draft Team,Agility,Shuttle Run,Sprint,Standing Vertical,Max Vertical Leap,Max Bench Press,Body Fat Percentage,Hand Length,Hand Width,Heightw/oshoesinches,Heightw/shoesinches,Standing_Reach_inches,Wingspan_inches
Danny Green,UNC,38,27.4,4.8,10.3,0.469,2,4.8,0.414,1.4,1.6,0.852,1.7,2.2,1.8,2.8,4.7,2.8,1.8,1.4,13,0.587,0.551,171.6,8.5,14.9,11.8,14.6,16.3,2.9,5,23.1,-2.3,1.3,118.9,91.7,27.2,372.1,22.6,7.8,0.163,46,SG,210,22,North Carolina,11.3,-,3.3,29,33,15,0.056,-,-,77.25,78.5,103,82
Chris Singleton,FSU,28,29.1,4.4,10.2,0.432,1.2,3.4,0.368,3,4.5,0.667,2.2,3.2,2,4.8,6.8,1.2,2,1.5,13,0.529,0.493,146.7,7.9,17,12.6,9,15,3.9,6,24.3,-4.6,1.3,106.2,82.8,23.4,283.8,20.4,1.5,0.052,18,PF,228,21,Florida State,11.33,-,3.09,30.5,37.5,15,0.074,9.25,10,79.75,81,103.5,85
Festus Ezeli,VU,34,23.5,4.4,7.6,0.588,0,0,0,4.1,6.4,0.648,1.8,3.1,2.8,3.4,6.2,0.2,0.6,2.6,13,0.615,0.588,123.6,14.5,15.6,15.1,1.8,14.3,1.5,10.7,26.9,-6.9,1.7,118.5,93.9,24.5,353,26.9,2.7,0.171,30,C,265,22,Vanderbilt,12.35,-,3.29,34,33.5,18,0.055,9,10.75,81.75,83.5,108,89.75
Hassan Whiteside,MU,34,26.1,4.9,9.4,0.524,0.1,0.1,0.6,3.2,5.5,0.588,1.9,2.4,2.7,6.2,8.9,0.3,0.6,5.4,13.1,0.548,0.528,171.2,12.2,25.1,19,2.2,13.6,1.3,20.8,25.8,-6.5,1.4,108.6,83.7,24.9,493.9,28.6,10.3,0.233,33,C,265,21,Marshall,11.83,-,3.54,27,31.5,12,0.055,8.25,10.25,82.5,83.5,113,91
Malcolm Lee,UCLA,33,33.1,4.3,9.8,0.437,1.2,4,0.295,3.4,4.4,0.778,1.7,2.4,0.7,2.4,3.1,2,0.6,0.2,13.1,,,,,,,,,,,,,,,,,,,0.4,0.059,43,SG,200,21,UCLA,11.2,-,3.09,30,35.5,17,0.059,8.5,9.5,76,77.5,101.5,81.75
Solomon Jones,USF,29,36.4,4.8,9.9,0.484,0,0.1,0,3.6,4.7,0.778,3.5,3.4,3.2,6.6,9.8,1.3,0.9,3,13.2,0.545,0.484,126.2,11,21.9,16.5,9.5,22.3,1.5,9.4,22.6,-7.4,1.3,98.8,92.2,6.6,355.6,18.3,1.9,0.138,33,PF,230,21,South Florida,11.27,-,3.3,32,39,6,0.074,-,-,80.5,81.75,109,88.75
Alexander Johnson,FSU,29,24.5,4.4,8.1,0.54,0.3,1,0.31,4.1,5.9,0.706,2.7,3.2,2.4,6.9,9.3,0.7,1,1,13.2,0.606,0.56,155.7,9.9,28.1,19.1,5.8,19.6,2.4,5,27.1,-8.5,1.6,108,88.4,19.6,319.2,24.5,1.3,0.083,45,F,240,23,Florida State,,,,,,,,,,,,,
Shawne Williams,UM,36,27.3,4.3,10.4,0.416,1.3,4.3,0.312,3.2,4,0.786,2.2,2.9,1.7,4.5,6.2,1.8,1.4,1.4,13.2,0.534,0.48,151.4,6.4,16.8,11.6,12.7,15.4,2.8,5.2,24.1,-3.5,1.3,110.4,87.1,23.3,355.1,19.9,2.5,0.089,17,SF/PF,230,20,Memphis,10.69,-,3.3,32,31,-,0.08,-,-,79.25,80.75,104,87
Amir Johnson,RU,28,35.8,4.4,11.8,0.373,1.5,4.4,0.344,3,4.4,0.677,4.2,3.3,0.5,3.4,3.9,5.5,1.9,0.1,13.3,,,,,,,,,,,,,,,,,,,7.3,0.151,,,,,,,,,,,,,,,,,,
Chris Taft,PITT,29,26.5,5.5,9.4,0.58,0,0,0,2.3,4,0.586,1.6,1.7,3,4.5,7.5,0.8,0.4,1.7,13.3,0.561,0.559,110.3,15.4,19.6,17.6,11,11.2,0.9,7.1,23,-1.7,1.4,119,87.1,31.9,405.1,25.5,0.5,0.155,42,F,265,20,Pittsburgh,11.26,-,3.27,28.5,33,14,-%,-,-,80.5,81.5,109,85.75
